filename	date	plant	is_enriched
SRR14530814_1.fastq.gz	2020-09-08	JWPCP	1
SRR14530814_2.fastq.gz	2020-09-08	JWPCP	1
SRR14530751_1.fastq.gz	2020-09-15	JWPCP	0
SRR14530751_2.fastq.gz	2020-09-15	JWPCP	0
SRR14530813_1.fastq.gz	2020-09-15	JWPCP	1
SRR14530813_2.fastq.gz	2020-09-15	JWPCP	1
SRR14530750_1.fastq.gz	2020-09-22	JWPCP	0
SRR14530750_2.fastq.gz	2020-09-22	JWPCP	0
SRR14530811_1.fastq.gz	2020-09-22	JWPCP	1
SRR14530811_2.fastq.gz	2020-09-22	JWPCP	1
SRR14530837_1.fastq.gz	2020-09-29	JWPCP	1
SRR14530837_2.fastq.gz	2020-09-29	JWPCP	1
SRR14530876_1.fastq.gz	2020-09-29	JWPCP	0
SRR14530876_2.fastq.gz	2020-09-29	JWPCP	0
SRR14530759_1.fastq.gz	2020-10-06	JWPCP	0
SRR14530759_2.fastq.gz	2020-10-06	JWPCP	0
SRR14530883_1.fastq.gz	2020-10-06	JWPCP	1
SRR14530883_2.fastq.gz	2020-10-06	JWPCP	1
SRR14530758_1.fastq.gz	2020-10-13	JWPCP	0
SRR14530758_2.fastq.gz	2020-10-13	JWPCP	0
SRR14530872_1.fastq.gz	2020-10-13	JWPCP	1
SRR14530872_2.fastq.gz	2020-10-13	JWPCP	1
SRR14530838_1.fastq.gz	2020-11-03	JWPCP	1
SRR14530838_2.fastq.gz	2020-11-03	JWPCP	1
SRR14530877_1.fastq.gz	2020-11-03	JWPCP	0
SRR14530877_2.fastq.gz	2020-11-03	JWPCP	0
SRR14530841_1.fastq.gz	2020-11-10	JWPCP	1
SRR14530841_2.fastq.gz	2020-11-10	JWPCP	1
SRR14530879_1.fastq.gz	2020-11-10	JWPCP	0
SRR14530879_2.fastq.gz	2020-11-10	JWPCP	0
SRR14530840_1.fastq.gz	2020-11-17	JWPCP	1
SRR14530840_2.fastq.gz	2020-11-17	JWPCP	1
SRR14530878_1.fastq.gz	2020-11-17	JWPCP	0
SRR14530878_2.fastq.gz	2020-11-17	JWPCP	0
SRR14530747_1.fastq.gz	2020-08-14	NC	0
SRR14530747_2.fastq.gz	2020-08-14	NC	0
SRR14530808_1.fastq.gz	2020-08-14	NC	1
SRR14530808_2.fastq.gz	2020-08-14	NC	1
SRR14530745_1.fastq.gz	2020-08-28	NC	0
SRR14530745_2.fastq.gz	2020-08-28	NC	0
SRR14530807_1.fastq.gz	2020-08-28	NC	1
SRR14530807_2.fastq.gz	2020-08-28	NC	1
SRR14530744_1.fastq.gz	2020-09-11	NC	0
SRR14530744_2.fastq.gz	2020-09-11	NC	0
SRR14530806_1.fastq.gz	2020-09-11	NC	1
SRR14530806_2.fastq.gz	2020-09-11	NC	1
