run_accession	sample_accession	instrument_model	fastq_ftp	sample_alias	first_created
SRR23083758	SAMN32742920	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/058/SRR23083758/SRR23083758.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/058/SRR23083758/SRR23083758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/058/SRR23083758/SRR23083758_2.fastq.gz	E_122621	2023-01-18
SRR23083759	SAMN32742920	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/059/SRR23083759/SRR23083759_1.fastq.gz	E_122621	2023-01-16
SRR23083760	SAMN32742919	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/060/SRR23083760/SRR23083760.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/060/SRR23083760/SRR23083760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/060/SRR23083760/SRR23083760_2.fastq.gz	E_121921	2023-01-18
SRR23083761	SAMN32742919	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/061/SRR23083761/SRR23083761_1.fastq.gz	E_121921	2023-01-16
SRR23083762	SAMN32742918	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/062/SRR23083762/SRR23083762.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/062/SRR23083762/SRR23083762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/062/SRR23083762/SRR23083762_2.fastq.gz	E_121221	2023-01-18
SRR23083763	SAMN32742918	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/063/SRR23083763/SRR23083763_1.fastq.gz	E_121221	2023-01-16
SRR23083764	SAMN32742917	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/064/SRR23083764/SRR23083764.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/064/SRR23083764/SRR23083764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/064/SRR23083764/SRR23083764_2.fastq.gz	E_120521	2023-01-18
SRR23083765	SAMN32742917	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/065/SRR23083765/SRR23083765_1.fastq.gz	E_120521	2023-01-16
SRR23083766	SAMN32742916	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/066/SRR23083766/SRR23083766.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/066/SRR23083766/SRR23083766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/066/SRR23083766/SRR23083766_2.fastq.gz	E_10922	2023-01-18
SRR23083767	SAMN32742896	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/067/SRR23083767/SRR23083767_1.fastq.gz	A_120521	2023-01-16
SRR23083768	SAMN32742916	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/068/SRR23083768/SRR23083768_1.fastq.gz	E_10922	2023-01-16
SRR23083769	SAMN32742915	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/069/SRR23083769/SRR23083769.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/069/SRR23083769/SRR23083769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/069/SRR23083769/SRR23083769_2.fastq.gz	E_10222	2023-01-18
SRR23083770	SAMN32742915	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/070/SRR23083770/SRR23083770_1.fastq.gz	E_10222	2023-01-16
SRR23083771	SAMN32742914	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/071/SRR23083771/SRR23083771.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/071/SRR23083771/SRR23083771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/071/SRR23083771/SRR23083771_2.fastq.gz	D_121921	2023-01-16
SRR23083772	SAMN32742914	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/072/SRR23083772/SRR23083772_1.fastq.gz	D_121921	2023-01-16
SRR23083773	SAMN32742913	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/073/SRR23083773/SRR23083773.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/073/SRR23083773/SRR23083773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/073/SRR23083773/SRR23083773_2.fastq.gz	D_121221	2023-01-18
SRR23083774	SAMN32742913	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/074/SRR23083774/SRR23083774_1.fastq.gz	D_121221	2023-01-16
SRR23083775	SAMN32742912	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/075/SRR23083775/SRR23083775.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/075/SRR23083775/SRR23083775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/075/SRR23083775/SRR23083775_2.fastq.gz	D_120521	2023-01-18
SRR23083776	SAMN32742912	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/076/SRR23083776/SRR23083776_1.fastq.gz	D_120521	2023-01-16
SRR23083777	SAMN32742947	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/077/SRR23083777/SRR23083777_1.fastq.gz	J_120521	2023-01-16
