SRR24706788	WR03-210330-14_B04
SRR24706794	WG0V-210309-14_B04
SRR24706798	WCDg-210302-14_B04
SRR24706799	WCDc-210302-14_B04
SRR24706803	WG0N-210302-14_B03
SRR24706805	WG0Hm-210302-14_B03
SRR24706807	WG0A-210302-14_B03
SRR24706809	WG0V-210302-14_B03
SRR24706811	WG02-210302-14_B03
SRR24706816	WG0V-210126-14_B03
SRR24706817	WG02-210126-14_B03
SRR24706819	WM06-201021-05_B03
SRR24706822	WG0Hp-210427-14_B05
SRR24706823	WM05-201021-05_B02
SRR24706827	WG01-201021-05_B02
SRR24706828	WM06-20201007-14_B02
SRR24706835	WG0A-210427-14_B05
SRR24706836	WG0Hm-210112-14_B02
SRR24706837	WG0A-210112-14_B02
SRR24706839	WG0V-210112-14_B02
SRR24706843	WC0Dc-210105-14_B02
SRR24706850	WG0A-210105-14_B02
SRR24706851	WG0R-210105-14_B02
SRR24706856	WG02-201202-14_B02
SRR24706858	Negative-Control_Extraction_Batch05
SRR24706859	B1500-9-14_B05
SRR24706862	WM08-210511-14_B06
SRR24706869	WGOK-210525_B06
SRR24706870	WGOK-210524_B06
SRR24706873	WGOK-210517_B06
SRR24706877	WGOK-210507_B06
SRR24706881	WG0L-210504-14_B05
SRR24706882	WG0V-210413-14_B04
SRR24706884	WG02c-210413-14_B04
SRR24706888	B1300-7-14_B05
SRR24706892	B1100-5-14_B05
SRR24706895	B0700-1-14_B05
SRR24706897	B0900-3-14_B05
SRR24706898	A0600-24-14_B05
SRR24706904	A0000-18-14_B05
SRR24706905	A0300-21-14_B05
SRR24706911	WGOK-210501C_B06
SRR24706473	WR03-210406-14_B04
SRR24706476	WG0L-210323-14_B04
SRR24706479	WG0W-210504-14_B05
SRR24706486	WG02-210323-14_B04
SRR24706489	WC0Dc-210316-14_B04
SRR24706490	WG0A-210504-14_B05
SRR24706492	WG0P-210316-14_B04
SRR24706496	WG0R-210202-14_B03
SRR24706500	WC0Dc-210216-14_B03
SRR24706501	WR03-210216-14_B03
SRR24706502	WC0Dg-210223-14_B03
SRR24706505	WG0L-210223-14_B03
SRR24706506	WG0N-210223-14_B03
SRR24706508	WC0Dg-210427-14_B05
SRR24706509	WG0Hm-210223-14_B03
SRR24706514	WR03-210223-14_B03
SRR24706516	WG01-20201007-14_B02
SRR24706517	WG02-20201007-5_B02
SRR24706518	Positive-Control_Extraction_Batch02
SRR24706520	WM05-20200930-14_B02
SRR24706528	WM04-20200930-05_B02
SRR24706532	WCDg-210112-14_B02
SRR24706534	WG0P-210112-14_B02
SRR24706536	WG0L-201118-14_B02
SRR24706538	WG0U-201118-14_B02
SRR24706544	WG0H-201125-14_B02
SRR24706547	WM06-201125-14_B02
SRR24706552	WG0L-201216-14_B02
SRR24706553	WG0E-201216-14_B02
SRR24706559	WG0N-210511-14_B05
SRR24706561	WG0Hm-210511-14_B05
SRR24706562	WG0W-210511-14_B05
SRR24706566	WR03-210601-14_B06
SRR24706567	WR03-210525-14_B06
SRR24706570	WM08-210615-14_B06
SRR24706575	WG02c-210622-14_B06
SRR24706583	WG01-210608-14_B06
SRR24706584	WG01-210601-14_B06
SRR24706587	WC0Dg-210622-14_B06
SRR24706591	WC0Dg-210525-14_B06
SRR24706592	WC0Dc-210622-14_B06
SRR24706596	WC0Dc-210601-14_B06
SRR24706597	WC0Dc-210525-14_B06
SRR24706601	WR03-210420-14_B04
SRR24706607	WC0Dc-210413-14_B04
SRR24706611	WG0Hp-210413-14_B04
SRR24706612	WG0Hm-210413-14_B04
SRR24706613	WG0A-210413-14_B04
SRR24706615	WG02c-210504-14_B05
SRR24706616	WG0HP-210209-14_B03
SRR24706617	WG0Hp-210202-14_B03
SRR24706624	WG0W-210216-14_B03
SRR24706627	WG0R-210216-14_B03
SRR24706628	WG0V-210216-14_B03
SRR24706633	Negative-Control_Extraction_Batch03
SRR24706635	WG0E-210119-14_B03
SRR24706639	WG0A-210119-14_B03
SRR24706641	WG0L-210427-14_B05
SRR24706644	WG02-210119-14_B03
SRR24706648	WG0Y-210126-14_B03
SRR24706650	WG0L-210126-14_B03
SRR24706654	WG0Hm-210126-14_B03
SRR24706658	WG01-201216-14_B02
SRR24706663	WG0S-201209-14_B02
SRR24706666	WG02-201209-14_B02
SRR24706667	WG01-201209-14_B02
SRR24706669	WG0L-201202-14_B02
SRR24706675	WGOK-210402C_B06
SRR24706678	WGOK-210401C_B06
SRR24706679	WGOK-210401_B06
SRR24706680	WGOK-210331C_B06
SRR24706681	WG0P-210622-14_B06
SRR24706686	WG0P-210525-14_B06
SRR24706689	WG0L-210608-14_B06
SRR24706690	WG0L-210601-14_B06
SRR24706696	WG02g-210511-14_B05
SRR24706701	WG0A-210622-14_B06
SRR24706704	WG0A-210525-14_B06
SRR24706705	WG0A-210518-14_B06
SRR24706715	WG0A-210316-14_B04
SRR24706717	WG0V-210316-14_B04
SRR24706719	WG0R-210504-14_B05
SRR24706721	WG01-210316-14_B04
SRR24706724	WG0P-210309-14_B04
SRR24706725	WG0L-210309-14_B04
SRR24706726	WG0N-210309-14_B04
SRR24706729	WG0W-210309-14_B04
SRR24706730	WG0V-210504-14_B05
SRR24706737	WG0L-210209-14_B03
SRR24706743	WG0A-210209-14_B03
SRR24706747	WG0P-210427-14_B05
SRR24706749	WC0Dc-210119-14_B03
SRR24706752	A1700-11-14_B05
SRR24706757	A1400-8-14_B05
SRR24706758	A1300-7-14_B05
SRR24706759	A1200-6-14_B05
SRR24706760	A1000-4-14_B05
SRR24706763	A1100-5-14_B05
SRR24706765	WG0P-210420-14_B05
SRR24706768	WC0Dc-210518-14_B05
SRR24706770	WG0L-210518-14_B05
SRR24706775	WG0Hp-210504-14_B05
SRR24706776	WC0Dg-210330-14_B04
SRR24706778	WG0P-210330-14_B04
SRR24706780	WG0N-210330-14_B04
SRR24706784	WG0A-210330-14_B04
SRR24706787	WG0V-210330-14_B04
SRR24706789	WG02-210330-14_B04
SRR24706790	WG01-210330-14_B04
SRR24706792	WC0Dc-210323-14_B04
SRR24706795	WR03-210309-14_B04
SRR24706796	WG02-210309-14_B04
SRR24706797	WG01-210309-14_B04
SRR24706804	WG0Hp-210302-14_B03
SRR24706806	WG0W-210302-14_B03
SRR24706818	WG01-210126-14_B03
SRR24706821	WG01-20201007-5_B02
SRR24706825	WR03-201021-05_B02
SRR24706830	Negative-Control_Extraction_Batch02
SRR24706832	WG02-20201007-14_B02
SRR24706833	WG0L-210112-14_B02
SRR24706834	WG0Hp-210112-14_B02
SRR24706840	WG02-210112-14_B02
SRR24706841	WG01-210112-14_B02
SRR24706842	WC0Dg-210105-14_B02
SRR24706844	WG0P-210105-14_B02
SRR24706847	WG0E-210105-14_B02
SRR24706854	WG0U-201202-14_B02
SRR24706855	WM06-201202-14_B02
SRR24706861	WG0R-210511-14_B05
SRR24706863	WM06-210622-14_B06
SRR24706864	WM06-210615-14_B06
SRR24706866	WM06-210601-14_B06
SRR24706867	WM06-210525-14_B06
SRR24706871	WGOK-210523C_B06
SRR24706872	WG0V-210511-14_B05
SRR24706878	WGOK-210506_B06
SRR24706880	WGOK-210503C_B06
SRR24706887	WC0Dg-210406-14_B04
SRR24706890	WG01-210427-14_B05
SRR24706893	B1000-4-14_B05
SRR24706896	Ac0700-25-14_B05
SRR24706907	A2200-16-14_B05
SRR24706908	A2100-15-14_B05
SRR24706909	A2000-14-14_B05
SRR24706910	WGOK-210502_B06
SRR24706912	WR03-210511-14_B05
