SRR10002912	Norway	Europe	Oslo	Oslo, Romsaas	SASS 3100 electret filter air sampler	2017-06-21
SRR10002913	USA	North America	Denver	Denver, Union Station	SASS 3100 electret filter air sampler	2017-06-26
SRR10002914	Hong Kong	Asia	Hong Kong	Hong Kong, Admiralty	SASS 3100 electret filter air sampler	2017-07-05
SRR10002915	Sweden	Europe	Stockholm	Stockholm, Tekniska hoegskolan	SASS 3100 electret filter air sampler	2017-09-26
SRR10002916	Sweden	Europe	Stockholm	Stockholm, T-centralen	SASS 3100 electret filter air sampler	2017-09-26
SRR10002917	Sweden	Europe	Stockholm	Stockholm, Danderyd	SASS 3100 electret filter air sampler	2017-09-27
SRR10002918	Sweden	Europe	Stockholm	Stockholm, Universitetet	SASS 3100 electret filter air sampler	2017-09-27
SRR10002919	Sweden	Europe	Stockholm	Stockholm, Skanstull	SASS 3100 electret filter air sampler	2017-09-26
SRR10002920	Sweden	Europe	Stockholm	Stockholm, Fridhemsplan	SASS 3100 electret filter air sampler	2017-09-26
SRR10002921	Sweden	Europe	Stockholm	Stockholm, Slussen	SASS 3100 electret filter air sampler	2017-09-26
SRR10002922	Sweden	Europe	Stockholm	Stockholm, Medborgarplatsen	SASS 3100 electret filter air sampler	2017-09-26
