run_accession	sample_accession	fastq_ftp	sample_alias
SRR14530776	SAMN19167941	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/076/SRR14530776/SRR14530776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/076/SRR14530776/SRR14530776_2.fastq.gz	SJ_9_02_2020
SRR14530777	SAMN19167940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/077/SRR14530777/SRR14530777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/077/SRR14530777/SRR14530777_2.fastq.gz	SJ_8_26_2020
SRR14530778	SAMN19167939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/078/SRR14530778/SRR14530778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/078/SRR14530778/SRR14530778_2.fastq.gz	SJ_8_19_2020
SRR14530779	SAMN19167894	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/079/SRR14530779/SRR14530779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/079/SRR14530779/SRR14530779_2.fastq.gz	HTP_8_18_2020
SRR14530780	SAMN19167938	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/080/SRR14530780/SRR14530780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/080/SRR14530780/SRR14530780_2.fastq.gz	SJ_8_12_2020
SRR14530781	SAMN19167937	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/081/SRR14530781/SRR14530781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/081/SRR14530781/SRR14530781_2.fastq.gz	SJ_10_28_2020
SRR14530782	SAMN19167936	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/082/SRR14530782/SRR14530782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/082/SRR14530782/SRR14530782_2.fastq.gz	SJ_10_21_2020
SRR14530783	SAMN19167935	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/083/SRR14530783/SRR14530783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/083/SRR14530783/SRR14530783_2.fastq.gz	SJ_10_14_2020
SRR14530784	SAMN19167934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/084/SRR14530784/SRR14530784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/084/SRR14530784/SRR14530784_2.fastq.gz	SJ_10_07_2020
SRR14530785	SAMN19167933	ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/085/SRR14530785/SRR14530785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR145/085/SRR14530785/SRR14530785_2.fastq.gz	SB_9_24_2020
